frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.559, 0.93, 1, 11.120, 14.262, -158.3, -50.2, 630.3, 10.951, -6.537, -0.813
2, 0, 0.714, 0.98, 1, 9.802, 13.996, -161.6, -51.5, 629.2, 10.312, -4.291, -1.722
3, 0, 0.759, 0.93, 1, 6.693, 10.750, -166.5, -57.2, 608.9, 5.978, 0.643, -3.145
4, 0, 0.811, 0.98, 1, 4.256, 10.887, -175.0, -61.4, 625.9, 6.376, 3.337, -2.971
5, 0, 0.861, 0.98, 1, 3.846, 10.577, -177.0, -65.7, 637.8, 6.026, 3.540, -2.900
6, 0, 0.906, 0.98, 1, 4.068, 11.945, -175.6, -67.0, 639.8, 7.072, 3.334, -2.606
7, 0, 0.963, 0.93, 1, 4.405, 12.625, -172.0, -67.9, 645.8, 7.709, 2.340, -1.930
8, 0, 1.009, 0.88, 1, 5.076, 12.827, -169.0, -67.3, 646.9, 7.424, 1.126, -1.618
9, 0, 1.058, 0.98, 1, 5.599, 13.091, -166.2, -66.9, 648.2, 7.687, 0.053, -1.339
10, 0, 1.106, 0.98, 1, 6.479, 13.076, -160.4, -66.8, 650.4, 8.946, -1.458, -0.780
11, 0, 1.157, 0.98, 1, 7.051, 13.268, -154.5, -65.7, 640.5, 9.568, -2.213, 0.086
12, 0, 1.208, 0.88, 1, 7.073, 13.871, -149.7, -65.1, 637.5, 11.024, -1.956, 1.643
13, 0, 1.261, 0.98, 1, 6.799, 14.297, -144.8, -64.6, 631.7, 11.398, -1.286, 3.063
14, 0, 1.314, 0.98, 1, 6.952, 14.480, -142.0, -64.5, 630.2, 11.378, -1.769, 3.562
15, 0, 1.362, 0.98, 1, 7.408, 14.164, -140.0, -65.1, 632.3, 11.279, -2.818, 3.812
16, 0, 1.412, 0.98, 1, 7.019, 12.231, -139.5, -66.1, 639.2, 9.066, -2.885, 2.786
17, 0, 1.452, 0.98, 1, 7.054, 11.099, -138.3, -66.3, 637.7, 7.723, -3.211, 2.479
18, 0, 1.500, 0.98, 1, 6.210, 9.986, -138.5, -67.6, 638.1, 6.512, -2.301, 2.145
19, 0, 1.540, 0.98, 1, 5.625, 9.474, -138.8, -68.4, 638.5, 5.559, -1.479, 1.541
20, 0, 1.599, 0.98, 1, 4.555, 10.648, -139.5, -69.4, 636.1, 7.564, 0.726, 2.156
21, 0, 1.656, 0.98, 1, 2.418, 10.549, -142.6, -71.4, 630.3, 7.319, 4.566, 1.776
22, 0, 1.707, 0.88, 1, -0.333, 11.710, -148.5, -73.9, 628.4, 8.623, 8.859, 0.847
23, 0, 1.752, 0.88, 1, -3.076, 12.567, -156.6, -77.3, 645.3, 9.046, 13.637, 0.182
24, 0, 1.804, 0.03, 0, -18.107, 0.399, -157.7, -75.5, 632.5, 7.685, 19.165, -0.853
25, 0, 2.126, 0.03, 0, -10.588, 7.623, -159.7, -69.0, 603.1, 1.741, 26.637, 0.647
26, 0, 2.195, 0.98, 1, -9.408, 8.860, -175.3, -60.8, 620.7, 4.991, 24.040, 1.515
27, 0, 2.264, 0.98, 1, -7.671, 6.636, -177.1, -63.8, 631.7, 2.319, 21.501, 0.714
28, 0, 2.313, 0.88, 1, -7.042, 6.111, -176.6, -65.8, 639.4, 1.426, 19.990, 0.790
29, 0, 2.362, 0.88, 1, -6.997, 5.918, -176.1, -65.9, 643.3, 1.158, 19.747, 1.130
30, 0, 2.415, 0.98, 1, -6.029, 8.438, -174.1, -65.0, 641.2, 4.202, 18.790, 0.783
31, 0, 2.463, 0.98, 1, -6.188, 9.859, -172.7, -63.7, 640.4, 6.253, 18.882, 0.592
32, 0, 2.513, 0.98, 1, -6.691, 15.796, -171.9, -59.0, 647.7, 11.993, 19.346, 0.289
33, 0, 2.564, 0.98, 1, -6.258, 16.074, -169.7, -56.4, 648.1, 12.220, 18.584, 0.565
34, 0, 2.612, 0.93, 1, -3.665, 14.690, -164.3, -55.9, 650.8, 10.468, 14.454, 0.918
35, 0, 2.660, 0.98, 1, -2.936, 14.021, -158.7, -54.1, 649.5, 9.693, 13.423, 0.609
36, 0, 2.712, 0.98, 1, -2.386, 14.140, -153.8, -51.5, 646.3, 9.921, 12.111, 0.362
37, 0, 2.758, 0.98, 1, -1.353, 16.519, -148.3, -44.4, 648.6, 13.277, 9.705, 0.670
38, 0, 2.808, 0.98, 1, 1.164, 18.604, -142.6, -36.3, 648.3, 16.467, 6.199, 1.406
39, 0, 2.860, 0.93, 1, 2.628, 17.860, -140.1, -33.7, 651.8, 15.822, 4.149, 1.664
40, 0, 2.914, 0.93, 1, 6.077, 17.061, -134.2, -31.0, 655.1, 15.388, -1.526, 2.634
41, 0, 2.959, 0.93, 1, 8.120, 17.418, -130.1, -30.6, 657.2, 15.470, -3.817, 2.171
42, 0, 3.009, 0.93, 1, 10.600, 17.327, -123.5, -30.3, 653.1, 15.907, -7.595, 3.490
43, 0, 3.051, 0.93, 1, 11.286, 17.962, -120.3, -30.4, 650.9, 16.942, -8.521, 4.234
44, 0, 3.099, 0.93, 1, 11.880, 18.296, -117.8, -30.4, 650.2, 17.365, -9.212, 4.412
45, 0, 3.145, 0.93, 1, 13.445, 18.456, -113.3, -30.0, 648.9, 17.559, -11.619, 5.204
46, 0, 3.187, 0.93, 1, 13.892, 18.185, -110.5, -29.7, 644.2, 17.307, -12.439, 5.367
47, 0, 3.234, 0.93, 1, 14.352, 18.143, -108.7, -29.6, 644.0, 17.179, -13.131, 5.573
48, 0, 3.277, 0.98, 1, 15.906, 18.203, -105.6, -29.7, 639.1, 17.238, -15.540, 6.249
49, 0, 3.325, 0.98, 1, 16.942, 18.226, -103.8, -30.1, 633.9, 17.166, -17.217, 6.970
50, 0, 3.374, 0.98, 1, 18.219, 17.128, -100.0, -31.1, 624.1, 15.908, -19.259, 7.014
51, 0, 3.423, 0.98, 1, 19.261, 15.922, -98.9, -32.0, 623.1, 14.713, -20.087, 5.826
52, 0, 3.468, 0.98, 1, 19.231, 16.266, -98.0, -33.0, 621.2, 14.730, -19.946, 5.416
53, 0, 3.518, 0.98, 1, 20.116, 15.563, -98.2, -35.1, 620.3, 14.036, -21.017, 4.930
54, 0, 3.570, 0.98, 1, 20.400, 15.749, -98.8, -36.1, 618.5, 14.205, -21.252, 4.535
55, 0, 3.618, 0.98, 1, 20.244, 18.222, -103.1, -35.9, 615.3, 15.738, -20.509, 3.874
56, 0, 3.669, 0.98, 1, 19.694, 19.330, -107.1, -33.7, 611.0, 16.915, -19.464, 3.842
57, 0, 3.717, 0.88, 1, 16.307, 22.149, -116.5, -28.2, 608.4, 22.358, -13.869, 4.617
58, 0, 3.762, 0.88, 1, 14.121, 24.425, -122.1, -25.2, 594.1, 24.134, -10.701, 4.833
59, 0, 3.806, 0.82, 1, 12.598, 26.201, -127.0, -23.1, 586.3, 26.092, -8.732, 4.622
60, 0, 3.855, 0.82, 1, 9.002, 24.734, -133.1, -18.8, 573.5, 24.233, -3.485, 3.043
61, 0, 3.899, 0.88, 1, 12.966, 22.210, -153.8, -17.6, 619.5, 23.547, -8.334, 0.672
62, 0, 4.054, 0.82, 1, 11.935, 21.939, -164.7, -14.8, 624.5, 23.522, -6.072, -0.102
63, 0, 4.099, 0.98, 1, 8.051, 21.588, -195.9, -6.2, 640.8, 24.566, -0.620, -4.546
64, 0, 4.257, 0.98, 1, 8.182, 22.149, -198.7, -4.8, 635.0, 25.361, -0.691, -6.051
65, 0, 4.304, 0.88, 1, 9.848, 18.759, -202.9, -0.9, 621.5, 22.425, -2.640, -7.427
66, 0, 4.354, 0.98, 1, 9.233, 19.839, -211.6, 0.7, 628.7, 22.543, -1.165, -9.870
67, 0, 4.405, 0.88, 1, 8.692, 21.446, -218.8, 1.8, 643.7, 24.179, 0.127, -10.654
68, 0, 4.457, 0.88, 1, 8.312, 22.354, -222.9, 2.3, 653.6, 24.469, 1.324, -11.069
69, 0, 4.503, 0.98, 1, 8.458, 23.225, -226.0, 2.2, 660.4, 24.331, 2.163, -11.483
70, 0, 4.557, 0.98, 1, 8.954, 23.147, -228.4, 1.8, 662.7, 23.835, 1.686, -11.472
71, 0, 4.604, 0.98, 1, 9.555, 23.196, -229.9, 2.0, 662.4, 23.882, 1.075, -11.323
72, 0, 4.655, 0.98, 1, 10.044, 23.100, -233.6, 2.5, 659.4, 23.768, 0.657, -11.983
73, 0, 4.704, 0.98, 1, 10.268, 23.410, -237.5, 3.0, 661.6, 24.038, 0.569, -12.675
74, 0, 4.755, 0.98, 1, 10.762, 21.894, -244.7, 3.3, 662.5, 22.483, 0.262, -14.209
75, 0, 4.806, 0.98, 1, 10.840, 22.003, -250.3, 3.2, 665.9, 22.513, 0.503, -15.155
76, 0, 4.857, 0.98, 1, 11.010, 20.952, -256.2, 2.8, 663.2, 21.361, 0.483, -16.199
77, 0, 4.909, 0.98, 1, 11.132, 21.307, -259.8, 2.4, 663.9, 21.697, 0.689, -16.483
78, 0, 4.955, 0.88, 1, 13.039, 16.946, -271.8, 2.7, 681.5, 18.422, -2.982, -18.834
79, 0, 5.180, 0.03, 0, 7.872, 23.899, -267.9, 1.6, 668.1, 20.906, -0.114, -17.397
80, 0, 5.388, 0.03, 0, 12.017, 20.900, -251.9, -0.7, 624.8, 19.708, 1.033, -13.402
81, 0, 5.460, 0.98, 1, 13.756, 20.906, -245.4, -6.8, 656.4, 20.633, -4.657, -9.902
82, 0, 5.530, 0.98, 1, 16.215, 23.456, -241.8, -6.8, 669.9, 23.895, -8.365, -8.246
83, 0, 5.574, 0.93, 1, 17.408, 25.699, -232.9, -4.7, 664.2, 26.776, -9.593, -6.257
84, 0, 5.623, 0.93, 1, 17.334, 26.720, -228.4, -1.3, 662.3, 28.187, -9.459, -4.534
85, 0, 5.662, 0.93, 1, 17.224, 26.717, -227.5, 0.6, 663.1, 28.363, -9.247, -4.179
86, 0, 5.711, 0.88, 1, 17.367, 27.016, -227.1, 2.5, 664.0, 28.912, -9.341, -3.738
87, 0, 5.752, 0.88, 1, 17.704, 27.920, -226.4, 6.5, 666.6, 30.980, -9.545, -3.418
88, 0, 5.801, 0.88, 1, 17.562, 27.668, -226.7, 8.5, 669.6, 30.830, -9.380, -3.689
89, 0, 5.841, 0.88, 1, 17.143, 27.314, -226.6, 10.5, 670.1, 31.165, -9.069, -4.145
90, 0, 5.897, 0.88, 1, 17.004, 26.674, -226.8, 12.4, 672.1, 31.469, -9.263, -4.745
91, 0, 5.939, 0.88, 1, 16.190, 26.217, -224.6, 14.6, 668.3, 32.313, -8.711, -5.456
92, 0, 5.988, 0.88, 1, 15.748, 25.004, -223.6, 15.4, 667.9, 31.243, -8.603, -6.600
93, 0, 6.031, 0.88, 1, 15.112, 25.165, -221.0, 16.9, 662.8, 31.751, -7.667, -7.318
94, 0, 6.082, 0.88, 1, 14.896, 24.888, -220.7, 17.9, 663.0, 30.981, -6.985, -7.935
95, 0, 6.130, 0.88, 1, 14.736, 24.447, -219.9, 18.6, 662.3, 30.226, -6.582, -8.470
96, 0, 6.181, 0.77, 1, 14.470, 24.961, -217.0, 20.2, 658.7, 31.684, -6.302, -7.764
97, 0, 6.227, 0.77, 1, 14.427, 24.894, -216.5, 21.3, 660.7, 31.224, -6.136, -7.594
98, 0, 6.276, 0.88, 1, 14.600, 24.830, -214.5, 22.8, 663.8, 31.351, -6.769, -6.549
99, 0, 6.322, 0.88, 1, 15.004, 24.429, -215.6, 24.1, 673.7, 30.664, -7.797, -5.971
100, 0, 6.375, 0.88, 1, 15.571, 24.449, -214.8, 24.5, 680.6, 30.924, -8.944, -4.443
101, 0, 6.422, 0.77, 1, 15.920, 23.837, -215.2, 24.2, 690.8, 29.414, -9.710, -3.479
102, 0, 6.466, 0.77, 1, 16.172, 24.049, -215.3, 23.8, 695.8, 29.034, -9.800, -2.367
103, 0, 6.513, 0.88, 1, 16.413, 24.549, -215.0, 23.0, 698.8, 28.781, -10.078, -1.067
104, 0, 6.560, 0.88, 1, 16.877, 24.543, -213.6, 21.9, 699.1, 28.448, -10.962, 0.021
105, 0, 6.608, 0.88, 1, 18.296, 23.627, -211.7, 20.7, 700.5, 27.063, -13.459, 1.646
106, 0, 6.659, 0.88, 1, 18.757, 22.941, -211.0, 20.1, 702.5, 26.358, -14.455, 2.210
107, 0, 6.701, 0.88, 1, 20.289, 22.570, -205.9, 17.9, 696.7, 25.803, -16.808, 2.870
108, 0, 6.751, 0.88, 1, 21.120, 22.791, -201.6, 16.4, 689.5, 25.968, -18.110, 3.546
109, 0, 6.797, 0.88, 1, 22.621, 22.077, -196.7, 13.5, 685.5, 24.751, -20.932, 4.610
110, 0, 6.840, 0.88, 1, 22.833, 21.669, -194.2, 11.8, 682.3, 24.363, -21.499, 5.093
111, 0, 6.885, 0.88, 1, 22.948, 21.519, -191.9, 10.3, 678.7, 23.864, -21.752, 5.264
112, 0, 6.927, 0.88, 1, 22.703, 21.456, -191.0, 8.6, 677.2, 23.595, -21.487, 5.518
113, 0, 6.981, 0.88, 1, 22.008, 20.548, -188.9, 6.2, 674.7, 22.106, -20.627, 4.941
114, 0, 7.026, 0.88, 1, 21.854, 20.816, -185.9, 6.0, 668.1, 22.412, -20.497, 4.959
115, 0, 7.070, 0.88, 1, 21.303, 20.984, -183.1, 5.6, 667.7, 23.275, -19.772, 5.792
116, 0, 7.114, 0.88, 1, 21.254, 21.216, -182.6, 5.2, 673.2, 23.404, -19.567, 6.079
117, 0, 7.160, 0.88, 1, 21.218, 21.362, -181.1, 5.2, 674.9, 23.500, -19.649, 6.485
118, 0, 7.207, 0.93, 1, 21.097, 21.216, -177.9, 5.9, 677.2, 23.586, -19.806, 7.426
119, 0, 7.251, 0.93, 1, 21.353, 21.530, -176.9, 6.7, 684.3, 24.043, -20.232, 8.486
120, 0, 7.296, 0.93, 1, 21.695, 21.040, -174.7, 7.8, 685.9, 23.804, -21.057, 9.081
121, 0, 7.339, 0.88, 1, 21.848, 20.884, -171.1, 9.0, 686.6, 23.720, -21.620, 11.266
122, 0, 7.382, 0.88, 1, 23.521, 19.048, -167.5, 9.5, 689.0, 21.540, -24.334, 10.851
123, 0, 7.430, 0.88, 1, 23.807, 16.382, -164.8, 9.1, 696.3, 18.307, -25.279, 11.153
124, 0, 7.484, 0.88, 1, 24.006, 16.189, -162.8, 8.3, 697.8, 18.195, -25.631, 12.031
125, 0, 7.533, 0.88, 1, 24.210, 16.519, -162.0, 7.4, 703.9, 18.828, -25.706, 12.896
126, 0, 7.584, 0.88, 1, 23.845, 16.522, -158.6, 5.2, 700.8, 18.465, -25.366, 13.455
127, 0, 7.634, 0.88, 1, 23.521, 16.514, -157.4, 4.1, 702.1, 18.579, -25.015, 13.766
128, 0, 7.685, 0.88, 1, 23.273, 16.192, -153.9, 2.0, 699.7, 17.903, -25.017, 13.768
129, 0, 7.736, 0.88, 1, 22.940, 16.320, -152.7, 1.1, 700.9, 17.941, -24.535, 13.893
130, 0, 7.789, 0.88, 1, 22.894, 16.044, -150.7, 0.2, 700.5, 17.754, -24.587, 14.126
131, 0, 7.844, 0.88, 1, 22.579, 16.655, -149.8, -0.2, 699.9, 18.557, -24.031, 14.362
132, 0, 7.893, 0.88, 1, 22.169, 16.862, -148.3, -0.6, 697.2, 18.645, -23.523, 14.389
133, 0, 7.942, 0.88, 1, 21.976, 16.702, -148.3, -0.7, 698.2, 18.413, -23.214, 14.315
134, 0, 7.989, 0.88, 1, 21.845, 16.885, -148.3, -0.5, 697.7, 18.388, -23.049, 14.074
135, 0, 8.040, 0.88, 1, 21.690, 16.823, -148.8, -0.3, 699.1, 18.437, -22.749, 14.061
136, 0, 8.089, 0.88, 1, 21.662, 17.193, -149.1, -0.3, 697.6, 18.691, -22.803, 13.975
137, 0, 8.138, 0.88, 1, 21.688, 17.177, -148.9, -0.3, 694.2, 18.683, -22.851, 13.997
138, 0, 8.186, 0.88, 1, 21.692, 17.080, -149.8, -0.3, 696.3, 18.441, -22.820, 13.865
139, 0, 8.235, 0.88, 1, 21.602, 17.005, -150.1, -0.2, 695.7, 18.226, -22.712, 13.712
140, 0, 8.284, 0.88, 1, 21.515, 17.182, -151.5, -0.0, 697.3, 18.425, -22.503, 13.742
141, 0, 8.330, 0.88, 1, 21.403, 17.246, -151.9, -0.1, 696.3, 18.469, -22.294, 13.709
142, 0, 8.382, 0.88, 1, 21.442, 16.749, -152.9, -0.4, 696.5, 17.770, -22.362, 13.404
143, 0, 8.430, 0.88, 1, 21.241, 17.038, -153.0, -0.4, 694.3, 18.149, -22.035, 13.239
144, 0, 8.481, 0.88, 1, 21.384, 17.056, -153.5, -0.6, 693.9, 18.174, -22.343, 13.223
145, 0, 8.529, 0.88, 1, 21.480, 17.196, -153.1, -0.9, 691.7, 18.259, -22.424, 13.200
146, 0, 8.579, 0.88, 1, 21.768, 17.202, -152.3, -1.3, 689.5, 18.536, -22.779, 13.287
147, 0, 8.629, 0.88, 1, 21.947, 17.203, -152.2, -2.3, 689.7, 18.384, -22.996, 13.350
148, 0, 8.682, 0.88, 1, 21.807, 17.429, -151.8, -2.8, 688.1, 18.546, -22.735, 13.171
149, 0, 8.734, 0.88, 1, 22.064, 17.434, -151.5, -3.7, 687.5, 18.287, -22.983, 12.694
150, 0, 8.785, 0.88, 1, 22.134, 17.379, -151.8, -4.2, 688.1, 18.243, -23.012, 12.334
151, 0, 8.834, 0.88, 1, 22.447, 17.818, -151.6, -4.4, 687.3, 18.581, -23.390, 12.090
152, 0, 8.884, 0.88, 1, 22.398, 18.028, -151.8, -4.4, 687.2, 18.875, -23.276, 12.106
153, 0, 8.931, 0.88, 1, 22.298, 18.107, -151.9, -4.4, 686.8, 18.943, -23.121, 11.897
154, 0, 8.987, 0.88, 1, 22.324, 17.852, -152.1, -4.4, 687.1, 18.839, -23.126, 11.866
155, 0, 9.032, 0.88, 1, 22.390, 17.936, -152.7, -4.1, 689.0, 18.840, -23.138, 11.722
156, 0, 9.086, 0.88, 1, 22.380, 17.974, -153.0, -3.3, 689.7, 19.173, -23.157, 11.875
157, 0, 9.142, 0.88, 1, 22.445, 18.507, -152.9, -2.5, 690.1, 19.669, -23.211, 11.987
158, 0, 9.202, 0.88, 1, 22.441, 19.054, -152.9, 1.3, 693.5, 20.798, -23.070, 12.700
159, 0, 9.252, 0.88, 1, 22.432, 19.614, -152.7, 4.6, 696.5, 21.962, -23.032, 13.327
160, 0, 9.308, 0.82, 1, 22.600, 22.030, -149.9, 11.4, 693.1, 26.487, -22.629, 15.296
161, 0, 9.355, 0.77, 1, 22.631, 23.772, -147.1, 17.2, 690.6, 30.316, -22.209, 16.554
162, 0, 9.405, 0.82, 1, 22.643, 25.414, -146.7, 20.5, 696.6, 32.138, -22.276, 16.863
163, 0, 9.452, 0.77, 1, 22.988, 25.388, -145.3, 24.1, 701.3, 32.392, -22.622, 17.489
164, 0, 9.507, 0.77, 1, 22.982, 24.552, -145.1, 26.1, 705.3, 31.778, -22.594, 17.569
