frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
1, 0, 0.000, 0.98, 1, -2.283, 20.914, 633.6, -115.0, 1529.0, 23.398, -5.080, 4.716,0,49.848484848484844,4.429604104376007,242.22104517440312,237.7914410700271
2, 0, 0.033, 0.98, 1, -3.522, 22.603, 629.3, -115.3, 1521.9, 24.220, -3.435, 5.154,-6.235294117647051,18.735294117647058,4.429604104376007,39.38715427491508,34.95755017053908
3, 0, 0.067, 0.98, 1, 1.022, 31.551, 620.4, -114.4, 1500.3, 24.008, -2.798, 5.549,0,8.848484848484857,5.2288541985511445,15.243709154739864,10.01485495618872
4, 0, 0.100, 0.98, 1, -2.571, 27.360, 614.4, -114.1, 1484.8, 24.450, -2.506, 5.765,0,10.121212121212109,5.2288541985511445,10.84943486100032,5.620580662449176
5, 0, 0.133, 0.98, 1, 0.599, 33.937, 610.7, -114.4, 1477.7, 25.473, -2.172, 5.441,0,0,5.2288541985511445,2.258532372058641,0
6, 0, 0.167, 0.98, 1, 0.212, 35.159, 607.4, -114.3, 1469.6, 25.897, -2.252, 5.384,0,0,5.2288541985511445,2.222307668273384,0
7, 0, 0.200, 0.98, 1, 0.960, 36.198, 605.4, -114.4, 1465.5, 26.372, -2.353, 5.251,0,4.470588235294121,5.164330170390745,2.222307668273384,0
8, 0, 0.234, 0.98, 1, 2.259, 37.452, 604.1, -114.7, 1463.1, 26.811, -2.201, 5.182,0,0.5454545454545526,7.3539842873176395,0.8485933131602672,0
9, 0, 0.267, 0.98, 1, 1.511, 37.029, 602.2, -114.7, 1460.1, 26.970, -2.183, 5.198,-3.1212121212120625,0,6.96132208280423,0.8764116030106427,0
10, 0, 0.300, 0.98, 1, 1.939, 37.167, 599.6, -114.3, 1454.2, 26.867, -2.439, 5.359,0,0,7.572035275335616,42.88411909984467,35.31208382450905
11, 0, 0.334, 0.98, 1, 0.652, 36.373, 600.2, -115.0, 1455.3, 26.951, -2.621, 5.314,0,2.333333333333334,7.572035275335616,42.078032085914515,34.5059968105789
12, 0, 0.367, 0.98, 1, 0.943, 36.671, 598.4, -114.6, 1452.2, 27.206, -2.544, 5.268,-6.8787878787878824,0,7.089471168290559,42.87817732919701,35.78870616090645
13, 0, 0.400, 0.98, 1, 0.879, 36.990, 596.8, -114.6, 1448.0, 26.979, -2.737, 5.308,0,0,4.869703077399452,42.24300684839373,37.37330377099428
14, 0, 0.434, 0.98, 1, 1.298, 36.851, 596.6, -114.6, 1448.1, 27.002, -2.754, 5.350,0,0,4.869703077399452,42.24300684839373,37.37330377099428
15, 0, 0.467, 0.98, 1, 1.596, 33.967, 598.4, -114.9, 1452.9, 27.306, -3.235, 5.220,0,0.26470588235293835,4.869703077399452,41.51081759717334,36.64111451977389
16, 0, 0.501, 0.98, 1, 0.959, 33.866, 598.6, -115.0, 1453.3, 27.394, -3.226, 5.238,-1.8787878787878047,0,4.612184936993612,41.24578167823421,36.633596741240595
17, 0, 0.534, 0.98, 1, 1.171, 33.792, 598.8, -115.3, 1454.4, 27.332, -3.266, 5.212,-6.181818181818216,2.151515151515162,4.979458384480959,41.24578167823421,36.26632329375325
18, 0, 0.567, 0.98, 1, 1.702, 34.422, 597.9, -115.6, 1453.6, 27.128, -3.195, 5.216,-2.323529411764722,0,2.6570957204070154,42.093135189580586,39.43603946917357
19, 0, 0.601, 0.98, 1, 1.249, 34.233, 596.6, -115.4, 1450.8, 27.049, -3.462, 5.363,-4.66666666666666,21.030303030303024,2.600087846766565,41.39110598487759,38.79101813811103
