frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
1,0,0,0.98,1,-2.283,20.914,633.6,-115,1529,23.398,-5.08,4.716,0,24.90909091,7.713723019,107.2711706,99.55744754
2,0,0.033,0.98,1,-3.522,22.603,629.3,-115.3,1521.9,24.22,-3.435,5.154,0,0,7.713723019,86.11667372,78.4029507
3,0,0.067,0.98,1,1.022,31.551,620.4,-114.4,1500.3,24.008,-2.798,5.549,0,13.39393939,8.726695885,86.11667372,77.38997783
4,0,0.1,0.98,1,-2.571,27.36,614.4,-114.1,1484.8,24.45,-2.506,5.765,0,31,8.480889785,92.4684814,83.98759161
5,0,0.133,0.98,1,0.599,33.937,610.7,-114.4,1477.7,25.473,-2.172,5.441,-2.352941176,12.47058824,21.66979968,31.71141279,10.04161311
6,0,0.167,0.98,1,0.212,35.159,607.4,-114.3,1469.6,25.897,-2.252,5.384,-3.060606061,14.39393939,23.05579341,28.29555176,5.239758345
7,0,0.2,0.98,1,0.96,36.198,605.4,-114.4,1465.5,26.372,-2.353,5.251,0,12.91176471,23.66404707,20.50104399,0
8,0,0.234,0.98,1,2.259,37.452,604.1,-114.7,1463.1,26.811,-2.201,5.182,0,4.818181818,23.66404707,11.71815425,0
9,0,0.267,0.98,1,1.511,37.029,602.2,-114.7,1460.1,26.97,-2.183,5.198,-7.757575758,0,23.67998937,11.82446153,0
10,0,0.3,0.98,1,1.939,37.167,599.6,-114.3,1454.2,26.867,-2.439,5.359,-5.352941176,2.470588235,23.75466122,11.82446153,0
11,0,0.334,0.98,1,0.652,36.373,600.2,-115,1455.3,26.951,-2.621,5.314,0,7.727272727,24.45661851,11.82536561,0
12,0,0.367,0.98,1,0.943,36.671,598.4,-114.6,1452.2,27.206,-2.544,5.268,-5.848484848,0,24.02066293,8.340211039,0
13,0,0.4,0.98,1,0.879,36.99,596.8,-114.6,1448,26.979,-2.737,5.308,-0.5,0.676470588,23.83324268,8.099260836,0
14,0,0.434,0.98,1,1.298,36.851,596.6,-114.6,1448.1,27.002,-2.754,5.35,-14.57575758,9.212121212,32.96263989,10.72892979,0
15,0,0.467,0.98,1,1.596,33.967,598.4,-114.9,1452.9,27.306,-3.235,5.22,0,2.588235294,18.94548978,4.809439339,0
16,0,0.501,0.98,1,0.959,33.866,598.6,-115,1453.3,27.394,-3.226,5.238,-1.212121212,0,18.94548978,4.877156884,0
17,0,0.534,0.98,1,1.171,33.792,598.8,-115.3,1454.4,27.332,-3.266,5.212,0,0,18.93738854,5.221565212,0
18,0,0.567,0.98,1,1.702,34.422,597.9,-115.6,1453.6,27.128,-3.195,5.216,-7.852941176,0,18.45161578,5.221565212,0
19,0,0.601,0.98,1,1.249,34.233,596.6,-115.4,1450.8,27.049,-3.462,5.363,0,0,15.95380812,5.221565212,0
20,0,0.634,0.98,1,1.579,36.914,595.4,-115.5,1448,26.895,-2.768,5.175,0,2,15.95380812,5.0867243,0
21,0,0.667,0.98,1,1.601,37.211,594.2,-115.1,1446.3,26.961,-2.686,5.259,-0.735294118,0,15.49021016,5.353430578,0
22,0,0.701,0.98,1,1.312,37.078,594.9,-115.2,1447,26.914,-2.711,5.242,0,2.03030303,15.82065562,5.353430578,0
23,0,0.734,0.98,1,1.561,36.529,594.8,-115.2,1447.4,26.981,-2.662,5.225,-12.51515152,7,15.82065562,5.52642253,0
24,0,0.767,0.98,1,1.545,34.261,597.6,-116.1,1454.2,27.212,-3.075,5.079,0,1.794117647,31.01197224,7.209492085,0
25,0,0.801,0.98,1,1.351,34.285,596.4,-115.9,1451.3,27.273,-3.019,5.14,0,0,30.01665603,10.05511845,0
26,0,0.834,0.98,1,0.608,34.297,596.7,-116,1452.1,27.184,-2.994,5.126,-3.441176471,3.764705882,29.83069346,10.05511845,0
27,0,0.868,0.98,1,0.816,33.487,596.9,-116.2,1452.6,27.312,-3.111,5.03,-4.333333333,0,30.2485609,9.92209735,0
28,0,0.901,0.98,1,0.482,33.048,596.7,-116.2,1452.4,27.309,-3.254,5.048,0,0,30.43651891,11.70962924,0
29,0,0.934,0.98,1,1.28,33.582,596.2,-116.2,1451.5,27.24,-3.104,5.009,0,0.411764706,30.43651891,11.70962924,0
30,0,0.968,0.98,1,1.43,33.879,597,-116.5,1452.3,27.254,-2.969,4.986,-3.242424242,0,30.43651891,13.01141823,0
31,0,1.001,0.98,1,0.013,32.794,596.5,-116.1,1452.1,27.145,-3.076,5.13,0,0,30.86526253,12.09990635,0
32,0,1.034,0.98,1,0.889,36.165,594.3,-115.6,1446.7,26.773,-2.53,5.134,0,0,30.23616646,12.09990635,0
33,0,1.068,0.98,1,1.022,36.273,594,-115.6,1445.7,26.714,-2.473,5.157,-17.93939394,8.212121212,31.06976267,11.28740102,0
34,0,1.101,0.98,1,0.988,33.639,595.2,-115.9,1449.7,26.985,-3.065,5.178,-3.848484848,6.727272727,5.005847825,9.028864375,4.02301655
35,0,1.134,0.98,1,1.604,33.541,595.6,-115.9,1450.6,27.207,-3.192,5.142,-0.264705882,0,4.55331357,7.171902601,2.618589031
36,0,1.168,0.98,1,2.453,33.24,595.8,-116,1451.2,27.017,-3.201,5.183,-1.242424242,0,4.615495073,6.783275849,2.167780775
37,0,1.201,0.98,1,1.257,32.91,595.6,-116.2,1451.4,26.957,-3.242,5.093,-1,6.264705882,4.751573625,6.783275849,2.031702224
38,0,1.235,0.98,1,1.212,32.902,596.1,-116.2,1452.1,27.17,-3.276,5.014,0,0,6.765203687,4.666674292,0
39,0,1.268,0.98,1,1.519,33.053,595.4,-116.3,1450.5,27.168,-3.152,4.98,0,6.454545455,6.765203687,4.666674292,0
40,0,1.301,0.98,1,1.484,34.014,594.5,-116,1448.9,27.381,-2.918,5.017,-0.558823529,3.647058824,10.37277674,3.306792048,0
41,0,1.335,0.98,1,1.532,33.426,595.9,-116.4,1452.7,27.505,-2.937,4.991,-1.606060606,0,10.61990867,2.667382962,0
42,0,1.368,0.98,1,2.526,33.628,594.9,-116.3,1450.3,27.282,-2.99,5.154,-7.060606061,1.484848485,11.10465333,2.667382962,0
43,0,1.401,0.98,1,1.627,33.364,594.3,-116.2,1449.4,27.331,-3.223,5.087,-0.294117647,0,8.624930971,2.618696454,0
44,0,1.435,0.98,1,1.835,33.287,594,-116.2,1447.9,27.236,-3.233,5.019,0,0,8.532435466,2.555240144,0
45,0,1.468,0.98,1,2.153,33.439,593.7,-115.9,1447.8,27.138,-3.081,5.062,0,1.764705882,8.532435466,2.517003102,0
46,0,1.502,0.98,1,2.664,33.958,594.4,-116.3,1449.3,27.198,-3.079,4.972,0,0,8.532435466,2.549327782,0
47,0,1.535,0.98,1,1.973,33.595,594.2,-116.1,1448.8,27.022,-3.055,4.998,-5.545454545,0.181818182,8.532435466,3.185911613,0
