frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.000, 0.98, 1, -26.454, 12.769, 314.0, -148.4, 1519.2, 9.981, 33.701, -2.738
2, 0, 0.033, 0.98, 1, -26.782, 15.453, 316.8, -149.7, 1537.5, 10.732, 33.830, -2.800
3, 0, 0.067, 0.98, 1, -26.873, 16.408, 317.9, -150.0, 1543.5, 10.758, 33.802, -2.923
4, 0, 0.100, 0.98, 1, -26.854, 16.451, 317.3, -149.6, 1539.5, 11.115, 33.752, -3.123
5, 0, 0.133, 0.98, 1, -26.755, 16.092, 315.3, -148.6, 1531.1, 11.402, 33.734, -3.284
6, 0, 0.167, 0.98, 1, -26.801, 15.562, 314.5, -148.6, 1528.2, 11.613, 33.833, -3.386
7, 0, 0.200, 0.98, 1, -26.900, 15.289, 313.4, -148.4, 1527.1, 12.115, 33.856, -3.563
8, 0, 0.234, 0.98, 1, -27.136, 14.716, 313.1, -148.4, 1524.8, 11.778, 34.263, -3.417
9, 0, 0.267, 0.98, 1, -27.319, 14.503, 313.1, -148.3, 1523.7, 11.814, 34.557, -3.497
10, 0, 0.300, 0.98, 1, -27.421, 14.524, 313.3, -148.7, 1522.9, 11.930, 34.562, -3.459
11, 0, 0.334, 0.98, 1, -27.609, 14.422, 313.8, -148.4, 1523.1, 11.839, 34.847, -3.434
12, 0, 0.367, 0.98, 1, -27.565, 14.475, 313.9, -148.6, 1522.4, 12.159, 34.684, -3.524
13, 0, 0.400, 0.98, 1, -27.815, 14.334, 313.7, -148.4, 1520.5, 12.007, 35.045, -3.487
14, 0, 0.434, 0.98, 1, -27.631, 14.535, 313.2, -148.6, 1520.1, 12.295, 34.751, -3.501
15, 0, 0.467, 0.98, 1, -27.716, 14.204, 313.3, -148.7, 1519.1, 11.923, 34.939, -3.332
16, 0, 0.501, 0.98, 1, -27.682, 14.073, 313.8, -148.8, 1521.4, 11.864, 34.900, -3.342
17, 0, 0.534, 0.98, 1, -27.661, 14.306, 313.1, -149.0, 1521.2, 12.154, 34.800, -3.360
18, 0, 0.567, 0.98, 1, -27.648, 14.099, 313.6, -149.1, 1521.5, 11.884, 34.815, -3.301
19, 0, 0.601, 0.98, 1, -27.678, 14.043, 314.3, -149.4, 1522.8, 11.887, 34.891, -3.225
20, 0, 0.634, 0.98, 1, -27.706, 14.091, 314.1, -149.2, 1521.2, 11.870, 34.945, -3.267
